Timestamp,State,LoadType,TargetV,CellV,Current_mA,Charge_mAh,Discharge_mAh
558.2311410903931,WAIT_LOAD,NONE,0.0,2.081,-0.07,0.0,0.0
558.5149488449097,WAIT_LOAD,NONE,0.0,2.076,-0.019,0.0,0.0
558.7991263866425,WAIT_LOAD,NONE,0.0,2.08,-0.081,0.0,0.0
559.0828404426575,WAIT_LOAD,NONE,0.0,2.078,-0.059,0.0,0.0
559.4152693748474,WAIT_LOAD,NONE,0.0,2.076,-0.034,0.0,0.0
559.6659691333771,WAIT_LOAD,NONE,0.0,2.078,-0.07,0.0,0.0
559.9461872577667,WAIT_LOAD,NONE,0.0,2.082,-0.081,0.0,0.0
560.2185153961182,WAIT_LOAD,NONE,0.0,2.076,-0.034,0.0,0.0
560.5493829250336,WAIT_LOAD,NONE,0.0,2.074,-0.037,0.0,0.0
560.7941100597382,WAIT_LOAD,NONE,0.0,2.075,-0.008,0.0,0.0
561.0753235816956,WAIT_LOAD,NONE,0.0,2.073,-0.023,0.0,0.0
561.380393743515,WAIT_LOAD,NONE,0.0,2.078,-0.059,0.0,0.0
561.6820862293243,WAIT_LOAD,NONE,0.0,2.081,-0.096,0.0,0.0
561.93980884552,WAIT_LOAD,NONE,0.0,2.073,-0.004,0.0,0.0
562.2082624435425,WAIT_LOAD,NONE,0.0,2.076,-0.048,0.0,0.0
562.503999710083,WAIT_LOAD,NONE,0.0,2.079,-0.092,0.0,0.0
562.8165636062622,WAIT_LOAD,NONE,0.0,2.074,-0.023,0.0,0.0
563.0685625076294,WAIT_LOAD,NONE,0.0,2.074,-0.045,0.0,0.0
563.3528816699982,WAIT_LOAD,NONE,0.0,2.075,-0.037,0.0,0.0
563.6422646045685,WAIT_LOAD,NONE,0.0,2.073,0.014,0.0,0.0
563.956857919693,WAIT_LOAD,NONE,0.0,2.076,-0.026,0.0,0.0
564.2099866867065,WAIT_LOAD,NONE,0.0,2.08,-0.092,0.0,0.0
564.5134243965149,WAIT_LOAD,NONE,0.0,2.075,-0.001,0.0,0.0
564.5575287342072,WAIT_LOAD,NONE,0.0,2.077,-0.048,0.0,0.0
564.8565332889557,WAIT_LOAD,NONE,0.0,2.077,-0.081,0.0,0.0
565.1346201896667,WAIT_LOAD,NONE,0.0,2.071,0.003,0.0,0.0
565.3981490135193,WAIT_LOAD,NONE,0.0,2.074,-0.015,0.0,0.0
565.6875059604645,WAIT_LOAD,NONE,0.0,2.077,-0.052,0.0,0.0
566.0005054473877,WAIT_LOAD,NONE,0.0,2.075,-0.03,0.0,0.0
566.3125665187836,WAIT_LOAD,NONE,0.0,2.077,-0.066,0.0,0.0
566.5647783279419,WAIT_LOAD,NONE,0.0,2.073,-0.034,0.0,0.0
566.849152803421,WAIT_LOAD,NONE,0.0,2.08,-0.081,0.0,0.0
567.1433336734772,WAIT_LOAD,NONE,0.0,2.08,-0.088,0.0,0.0
567.4423367977142,WAIT_LOAD,NONE,0.0,2.073,-0.023,0.0,0.0
567.7649080753326,WAIT_LOAD,NONE,0.0,2.076,-0.066,0.0,0.0
568.0163855552673,WAIT_LOAD,NONE,0.0,2.08,-0.096,0.0,0.0
568.2965478897095,WAIT_LOAD,NONE,0.0,2.074,-0.012,0.0,0.0
568.5909984111786,WAIT_LOAD,NONE,0.0,2.074,-0.023,0.0,0.0
568.9110729694366,WAIT_LOAD,NONE,0.0,2.076,-0.103,0.0,0.0
569.1943578720093,WAIT_LOAD,NONE,0.0,2.07,-0.001,0.0,0.0
569.4671614170074,WAIT_LOAD,NONE,0.0,2.071,0.021,0.0,0.0
569.7589366436005,WAIT_LOAD,NONE,0.0,2.076,-0.077,0.0,0.0
570.094208240509,WAIT_LOAD,NONE,0.0,2.075,-0.045,0.0,0.0
570.346536397934,WAIT_LOAD,NONE,0.0,2.076,-0.055,0.0,0.0
570.6444551944733,WAIT_LOAD,NONE,0.0,2.075,-0.023,0.0,0.0
570.9383881092072,WAIT_LOAD,NONE,0.0,2.07,0.036,0.0,0.0
571.2513055801392,WAIT_LOAD,NONE,0.0,2.071,-0.037,0.0,0.0
571.5102128982544,WAIT_LOAD,NONE,0.0,2.075,-0.055,0.0,0.0
571.7935221195221,WAIT_LOAD,NONE,0.0,2.075,-0.052,0.0,0.0
572.1143641471863,WAIT_LOAD,NONE,0.0,2.073,-0.052,0.0,0.0
572.3952739238739,WAIT_LOAD,NONE,0.0,2.073,-0.026,0.0,0.0
572.6469333171844,WAIT_LOAD,NONE,0.0,2.075,-0.052,0.0,0.0
572.9442539215088,WAIT_LOAD,NONE,0.0,2.079,-0.107,0.0,0.0
